Original,Processed,Developers,Platforms,Genres
the witcher 3,witcher 3,[],[],[]
Wild hunt,wild hunt,[],[],[]
Assassin's Creed,assassin creed,[],[],[]
final fantasy,final fantasy,[],[],[]
Monster hunter,monster hunter,[],[],[]
Upcoming indie platformers for PC,upcoming indie platform platformers pc,['indie'],[],"['platform', 'indie']"
Top-rated multiplayer FPS games on PlayStation 5,top rated multiplayer shooter fps game playstation 5,[],['playstation'],['shooter']
Best open-world RPG titles for Xbox Series X,best open world rpg title xbox series x,[],['xbox'],['rpg']
Story-driven adventure games with strong plot,story driven adventure game strong plot,[],[],['adventure']
Kid-friendly Switch games for family play,kid friendly nintendo switch game family play,"['nintendo', 'kid']",[],[]
Turn-based strategy games released in the last year,turn based strategy game released last year,[],[],['strategy']
Retro arcade games with modern ports,retro arcade game modern port,[],['arcade'],['arcade']
Local co-op platformers on Steam,local co op platform platformers steam,['steam'],[],['platform']
Best VR-exclusive games on Oculus Quest,best vr exclusive game oculus quest,['quest'],[],[]
Top survival horror games of all time,top survival horror game time,[],[],[]
Open-world fantasy games like The Elder Scrolls,open world fantasy game like elder scroll,[],[],[]
Recommended 2D fighters for beginner players,recommended 2d fighting fighter beginner player,[],[],['fighting']
High-rated indie roguelike deckbuilders,high rated indie roguelike deckbuilders,['indie'],[],['indie']
Free-to-play battle royale games for mobile,free play battle royale game mobile,[],['mobile'],[]
Remastered classic JRPGs on current-gen consoles,remastered classic rpg jrpgs current gen console,[],[],['rpg']
Popular city-building simulation games,popular city building simulator simulation game,[],[],['simulator']
Co-op puzzle-platformers for Nintendo Switch,co op puzzle platform platformers nintendo switch,['nintendo'],[],"['puzzle', 'platform']"
Easygoing life sims for relaxing gameplay,easygoing life simulator sims relaxing gameplay,['sims'],[],['simulator']
Hardcore survival simulators with crafting elements,hardcore survival simulator crafting element,[],[],['simulator']
Top post-apocalyptic RPGs with rich storytelling,top post apocalyptic rpgs rich storytelling,[],[],[]
PC racing games with realistic physics,pc racing game realistic physic,[],[],['racing']
Best single-player games under 10 hours long,best single player game 10 hour long,[],[],[]
Metroidvania games with pixel art style,metroidvania game pixel art style,"['pixel', 'art']",[],[]
Fast-paced hack-and-slash action games,fast paced hack slash shooter action game,[],[],['shooter']
MMOs that offer free trials,mmos offer free trial,[],[],[]
Digital board game adaptations for tablet,digital card & board game adaptation tablet,[],[],[]
Where to find new indie puzzle games,find new indie puzzle game,['indie'],[],"['puzzle', 'indie']"
Hardest Souls-like games on PlayStation 5,hardest soul like game playstation 5,[],['playstation'],[]
Family-friendly party games for holidays,family friendly party game holiday,[],[],[]
Cross-platform shooters with voice chat,cross platform shooter voice chat,[],[],"['shooter', 'platform']"
How to find hidden gem strategy RPGs,find hidden gem strategy rpgs,[],[],['strategy']
Point-and-click adventure games from the 90s,point click adventure game 90,[],[],['adventure']
Top-rated dating sims available on Steam,top rated dating simulator sims available steam,"['sims', 'steam']",[],['simulator']
Recommended top-down shooters with co-op,recommended top shooter co op,[],[],['shooter']
Episodic adventure games similar to Telltale’s style,episodic adventure game simulator similar telltale ’ style,[],[],"['adventure', 'simulator']"
Underrated stealth action games for PC,underrated stealth shooter action game pc,['stealth'],[],['shooter']
AAA games,aaa game,[],[],[]
Open-world pirate games beyond Sea of Thieves,open world pirate game beyond sea thief,['beyond'],[],[]
Turn-based tactics games similar to XCOM,turn based tactic game simulator similar xcom,[],[],['simulator']
Best party games for local multiplayer,best party game local multiplayer,[],[],[]
High-speed futuristic racers like Wipeout,high speed futuristic racer like wipeout,[],[],[]
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,['nintendo'],[],[]
Games with unique art styles like Okami,game unique art style like okami,['art'],[],[]
Best city management sims for budget PCs,best city management simulator sims budget pc,['sims'],[],['simulator']
Historical strategy games set in medieval times,historical strategy game set medieval time,[],[],['strategy']
Building and crafting games like Minecraft,building crafting game like minecraft,[],[],[]
Cozy farming sims with romance options,cozy farming simulator sims romance option,['sims'],[],['simulator']
How to find the scariest VR horror games,find scariest vr horror game,[],[],[]
Sports management simulators for soccer,sport management simulator soccer,[],[],"['sport', 'simulator']"
Heavily modded RPGs for advanced players,heavily modded rpgs advanced player,[],[],[]
Superhero action-adventure games with open worlds,superhero shooter action adventure game open world,[],[],"['adventure', 'shooter']"
Fantasy co-op dungeon crawlers on PC,fantasy co op dungeon crawler pc,[],[],[]
Rhythm-based music games with multiplayer modes,music rhythm based game multiplayer mode,[],[],['music']
Narrative-driven walking simulators on console,narrative driven walking simulator console,[],[],['simulator']
Escape room–style puzzle games,escape room–style puzzle game,['escape'],[],['puzzle']
Lovecraftian horror games with deep lore,lovecraftian horror game deep lore,[],[],[]
Games with branching storylines and multiple endings,game branching storyline multiple ending,[],[],[]
Co-op beat ‘em up games with retro vibes,co op beat ‘ em game retro vibe,[],[],[]
Mobile AR games like Pokémon GO,mobile ar game like pokémon go,[],['mobile'],[]
Detective mystery games with choice-based outcomes,detective mystery game choice based outcome,[],[],[]
Best tower defense titles on tablet or phone,best tower defense title tablet phone,[],[],[]
Endless runner games for smartphones,endless runner game smartphones,[],[],[]
Indie games featuring pixel-art cyberpunk themes,indie game featuring pixel art cyberpunk theme,"['pixel', 'art', 'indie']",[],['indie']
Lighthearted sandbox games for creative building,lighthearted sandbox game creative building,['creative'],[],[]
Most popular VR exercise games,popular vr exercise game,[],[],[]
Underwater exploration games like Subnautica,underwater exploration game like subnautica,[],[],[]
Best comedic point-and-click adventures,best comedic point click adventure,[],[],['adventure']
Steampunk-themed RPGs to try,steampunk themed rpgs try,[],[],[]
Military simulation shooters for hardcore gamers,military simulator simulation shooter hardcore gamers,[],[],"['shooter', 'simulator']"
Side-scrolling shoot ‘em ups with local co-op,side scrolling shoot ‘ em ups local co op,[],[],[]
Easiest ways to discover classic console remakes,easiest way discover classic console remake,[],[],[]
Medieval fantasy sandbox survival games,medieval fantasy sandbox survival game,[],[],[]
Unique puzzle games similar to Portal,unique puzzle game simulator similar portal,[],[],"['puzzle', 'simulator']"
Emotional storytelling games with minimal combat,emotional storytelling game minimal combat,[],[],[]
Retro-inspired roguelikes with pixel graphics,retro inspired roguelikes pixel graphic,['pixel'],[],[]
Dynamic hack-and-slash dungeon crawlers,dynamic hack slash dungeon crawler,[],[],[]
Xbox-exclusive RPGs worth playing,xbox exclusive rpgs worth playing,[],['xbox'],[]
Platforming challenges for speedrunners,platform platforming challenge speedrunners,[],[],['platform']
Co-op horror survival games with voice chat,co op horror survival game voice chat,[],[],[]
Games like Stardew Valley with deeper farming mechanics,game like stardew valley deeper farming mechanic,[],[],[]
Sci-fi space exploration sims on PC,sci fi space exploration simulator sims pc,['sims'],[],['simulator']
New cross-gen JRPGs this year,new cross gen rpg jrpgs year,[],[],['rpg']
Deckbuilding card games with roguelike elements,deckbuilding card & board game roguelike element,[],[],[]
Cyberpunk open-world games besides Cyberpunk 2077,cyberpunk open world game besides 2077,[],[],[]
Mobile idle clicker games with progression systems,mobile idle clicker game progression system,[],['mobile'],[]
Competitive sports titles with official licenses,competitive sport title official license,[],[],['sport']
Games with top-notch orchestral soundtracks,game top notch orchestral soundtrack,[],[],[]
Best puzzle-adventure games for Nintendo Switch Lite,best puzzle adventure game nintendo switch lite,['nintendo'],[],"['adventure', 'puzzle']"
Non-violent cooperative adventure games,non violent cooperative adventure game,[],[],['adventure']
Realistic flight simulators with VR support,realistic flight simulator vr support,[],[],['simulator']
Western-style RPGs with branching dialogue,western style rpgs branching dialogue,[],[],[]
Military real-time strategy games for PC,military real time strategy game pc,[],[],['strategy']
Local couch co-op games for four players,local couch co op game four player,[],[],[]
Puzzle platformers for younger kids,puzzle platform platformers younger kid,['kid'],[],"['puzzle', 'platform']"
Underrated cinematic action-adventure games,underrated cinematic shooter action adventure game,[],[],"['adventure', 'shooter']"
Best comedic dungeon crawlers with loot systems,best comedic dungeon crawler loot system,[],[],[]
Space colony management games with survival elements,space colony management game survival element,[],[],[]
PC-exclusive shooters with modding communities,pc exclusive shooter modding community,[],[],['shooter']
Highly replayable roguelikes for short sessions,highly replayable roguelikes short session,[],[],[]
